date,demand_mw,previous_load_shed,load_shed_3day_avg,load_shed_7day_avg,previous_demand,demand_3day_avg,demand_change,day_of_week,month,day_of_month,is_weekend,actual_next_day_risk,predicted_probability
2025-03-25,-0.00801521,-0.219564,-0.01417319,-0.25673816,-0.49570572,-1.0176109,0.36804876,0.004548759,-0.3054803,-0.3319974,-0.061751172,0,0.025797637
2025-03-26,0.050526995,-0.2304468,-0.012147902,-0.27290592,0.09759587,-0.08749246,-0.07276233,-0.15629101,-0.33402336,-0.4753977,-0.047547974,0,0.055525277
2025-03-27,-0.58281076,-0.19666749,-0.038761295,-0.23187353,-0.075466774,-0.009360861,-0.30520838,-0.47247413,-0.29410583,-0.1975979,-0.034341563,0,0.023394853
2025-04-06,-0.39092544,-0.33133352,-0.25328216,-0.39558515,0.057589144,-0.29338986,-0.06389003,0.48920086,0.56650263,-0.49808717,0.063337326,0,0.08764294
2025-04-07,0.171975,-0.1652488,-0.12283101,-0.4204706,-0.098557204,-0.31084585,-0.5399533,0.02183538,0.14300519,-0.3688833,-0.07924892,0,0.044697024
2025-04-08,0.54958063,-0.22104111,-0.10832612,-0.24639457,0.035311293,-0.067397155,0.37645894,0.09591182,-0.3031593,0.22645503,-0.027472716,0,0.27230278
2025-04-09,0.67651445,-0.25625998,-0.13093995,-0.2744432,0.054806516,-0.17152062,0.037681665,-0.06598093,-0.010039719,0.08928577,-0.041681062,0,0.20013145
2025-04-10,-0.23297532,-0.14400665,-0.058421865,-0.46457773,0.15280928,-0.27304402,0.17392164,-0.5631958,0.13873897,0.031105697,-0.05247504,0,0.07010882
2025-04-11,0.19437714,-0.12692836,-0.0031638015,-0.48274884,-0.1670827,0.99611396,-0.5070336,-0.36836,0.1463372,0.027995646,-0.07967469,0,0.1593511
2025-04-12,0.82073134,-0.28747854,-0.106198415,-0.34552407,-0.007859054,0.01151026,0.29018965,-0.21284601,-0.16042498,0.112627186,0.036702137,0,0.242051
2025-04-13,0.52530557,-0.28735247,-0.08086239,-0.21648803,0.6314525,-0.025127003,-0.024787653,0.5196354,0.41789582,0.0058620824,0.06620149,0,0.55942726
2025-04-14,1.196827,-0.15148902,-0.08184095,-0.19937648,0.11103285,-0.25987396,-0.1276498,0.037725553,-0.06768863,0.06230822,-0.042088706,0,0.30682358
2025-04-15,0.4202898,-0.098050326,0.11942066,-0.3367536,-0.17569184,0.7723858,-0.10752626,0.12250561,0.04950286,0.14840974,-0.07411471,0,0.38876188
2025-04-16,-0.8770235,-0.1352448,0.018191837,-0.30043417,0.2391582,0.80172646,-0.5710539,-0.22779863,-0.03398538,-0.2788688,-0.09026205,0,0.060171805
2025-04-17,-0.35624275,-0.20050883,-0.10502319,-0.36969894,-0.26584792,0.39653867,0.1192612,-0.4522977,-0.022647709,-0.37441206,-0.076877184,0,0.047396347
2025-04-18,0.50603396,-0.24676068,-0.06612187,-0.40268958,-0.35373238,-0.08062847,-0.2248429,-0.37963402,-0.043636326,-0.4541813,-0.06250447,0,0.043041524
2025-04-19,-0.26045573,-0.25867954,-0.068165325,-0.3103078,-0.42806342,-0.44873637,0.22322874,-0.09907851,-0.20031716,-0.4283437,0.059897598,0,0.028975016
2025-04-20,0.40808013,-0.3052924,-0.06317801,-0.25318423,-0.020288069,-0.11144335,0.05590234,0.69840604,0.21800204,-0.46087983,0.06450839,0,0.25687706
2025-04-21,0.9696362,-0.254458,-0.10365961,-0.15270613,0.38257033,-0.3576655,0.37292442,0.21052964,-0.18661465,-0.48603994,-0.037377737,0,0.2817579
2025-04-22,1.2118609,-0.27013278,-0.021986911,-0.08227609,0.78732985,1.0435488,0.057673175,0.34925097,-0.16307576,-0.5960352,-0.025282325,0,0.73066086
2025-04-23,-1.0165857,-0.12537846,0.117551915,-0.11776028,0.3294658,1.0307962,-0.25180537,-0.3263368,-0.115227774,-0.5483974,-0.0854056,0,0.083021864
2025-04-24,0.7209339,-0.24396332,-0.08725846,-0.3574432,-0.18198317,0.13735647,0.25944284,-0.5341598,-0.46865022,-0.44138783,-0.03735092,0,0.07396215
2025-04-25,-0.3886932,-0.1853013,-0.015891347,-0.24052997,0.76281583,-0.027810063,-0.44173023,-0.31979784,-0.09206218,-0.3894002,-0.05945902,1,0.063520975
2025-04-26,0.56515664,-0.2683611,-0.0829846,-0.25719172,-0.15935615,0.013798036,-0.048792608,-0.2464392,-0.072550684,-0.4014791,0.06450839,0,0.10096135
2025-04-27,-0.2565446,0.7542246,-0.025268441,0.20731144,0.13818133,-0.06427592,-0.07791129,0.6358981,0.29480562,0.019028414,0.08243933,0,0.602284
2025-04-28,-1.3405629,-0.18460414,-0.15321583,0.10941101,-0.38011798,-0.03599138,-0.43856016,-0.06392428,0.007291252,0.13567856,-0.07240328,0,0.023895135
2025-04-29,-0.022837,-0.27187848,-0.00418029,0.29150632,-0.26741165,-0.1336516,0.39126438,0.013351672,-0.36086455,0.14798212,-0.024479609,0,0.17739521
2025-04-30,-0.04434666,-0.20768397,0.014842933,0.29944167,-0.33539784,0.14531888,-0.039971866,-0.07830583,-0.40863913,0.6099824,-0.005537815,0,0.20698527
2025-05-01,-0.2293089,-0.16025963,-0.0026951018,0.14189993,-0.069739975,-0.14700218,-0.5491849,-0.47315252,-0.12603939,0.3062824,-0.058906835,0,0.06531393
2025-05-02,-0.31863138,-0.26210627,-0.17382804,0.366166,-0.09387248,-0.0243776,0.34402755,-0.2487625,-0.20649157,0.10240636,-0.019723618,0,0.13846593
2025-05-03,0.5778122,-0.27756664,-0.2092328,0.2697914,-0.004569383,-0.032794762,0.054202683,-0.18113285,-0.07398431,-0.26328743,0.03382504,0,0.19784261
2025-05-04,0.60898167,-0.32188067,-0.21827403,-0.35879037,0.09483624,-0.40358186,0.11336211,0.55792767,0.13159874,-0.6297432,0.041349903,0,0.15747854
2025-05-05,0.9647459,-0.24867332,-0.15950918,-0.36940074,0.460165,1.2690192,0.03394301,0.39037767,-0.13885729,-0.56485987,-0.010977133,0,0.58250785
2025-05-06,-0.17441265,-0.10735509,-0.116814874,-0.4246565,0.44537017,0.83028126,-0.3973698,0.21616717,-0.10701464,-0.49982378,-0.03713667,0,0.15900347
2025-05-07,1.313113,-0.122977294,-0.15068765,-0.21654288,0.036589425,0.82455236,0.6696943,0.038861692,-0.3144837,-0.435467,-0.0068063918,0,0.5849065
2025-05-08,0.5184672,-0.14961275,-0.0067117903,-0.47219625,-0.1445231,0.16328226,-0.66643244,-0.8024199,-0.23191456,0.16499573,-0.043663636,0,0.049096406
2025-05-09,1.1152493,-0.15605892,-0.04949716,-0.25535405,0.076275304,0.61405015,-0.12417043,-0.60447264,-0.17307135,0.042868547,-0.012082078,0,0.30594182
2025-05-10,1.1091049,-0.21796432,-0.08208338,-0.4325355,0.04744925,0.8405036,-0.10209563,-0.30390817,-0.18587118,0.03055235,0.053017586,0,0.368949
2025-05-11,-0.23284791,-0.122917704,-0.04129496,-0.355139,-0.32303375,0.6354307,-0.15778933,0.52900994,-0.049791805,-0.030660061,0.1314477,0,0.21240604
2025-05-12,-0.20725001,-0.19525069,-0.100280285,-0.41816366,-0.25272354,1.1230369,0.07185114,0.09663879,0.017027836,0.10726572,-0.029391784,0,0.25348008
2025-05-13,-0.124042206,-0.22464497,-0.047033608,-0.33401775,-0.3526743,0.1681203,-0.007451209,0.09337681,-0.068340756,0.017380385,-0.04516989,0,0.09819922
2025-05-14,-0.43456182,-0.2337671,-0.07502865,-0.3397816,-0.17670132,-0.11739703,0.089737676,-0.016314615,-0.28517216,0.08163436,-0.027739253,0,0.05583032
2025-05-15,-0.13873607,-0.19751827,-0.101417765,-0.38815898,-0.16286243,-0.12302667,0.24969374,-0.42824975,-0.14108992,0.0077922083,-0.026612073,0,0.060478445
2025-05-16,-0.15315647,-0.16717738,0.018108627,-0.31218368,-0.23997481,-0.036830563,-0.54657394,-0.3155582,-0.19849193,-0.34170786,-0.06226029,0,0.025364703
